region,cultivo,piso_asignado,distrito,¿Cambiar?,Distrito_correcto_si_cambia,Comentario
Ica,aceituna,costa,Chincha Alta,,,
Ica,aji,costa,Chincha Alta,,,
Ica,ajo,costa,Chincha Alta,,,
Ica,alcachofa,costa,Chincha Alta,,,
Ica,alfalfa,costa,Chincha Alta,,,
Ica,algodon_rama,costa,Chincha Alta,,,
Ica,arandano,costa,Chincha Alta,,,
Ica,arroz_cascara,costa,Chincha Alta,,,
Ica,camote,costa,Chincha Alta,,,
Ica,cana_para_azucar,costa,Chincha Alta,,,
Ica,cebolla,costa,Chincha Alta,,,
Ica,esparrago,costa,Chincha Alta,,,
Ica,maiz_amarillo_duro,costa,Chincha Alta,,,
Ica,maiz_chala,costa,Chincha Alta,,,
Ica,mandarina,costa,Chincha Alta,,,
Ica,mango,costa,Chincha Alta,,,
Ica,naranja,costa,Chincha Alta,,,
Ica,pallar_grano_seco,costa,Chincha Alta,,,
Ica,palta,costa,Chincha Alta,,,
Ica,papaya,costa,Chincha Alta,,,
Ica,paprika,costa,Chincha Alta,,,
Ica,pimiento,costa,Chincha Alta,,,
Ica,piquillo,costa,Chincha Alta,,,
Ica,platano,costa,Chincha Alta,,,
Ica,tomate,costa,Chincha Alta,,,
Ica,tuna,costa,Chincha Alta,,,
Ica,uva,costa,Chincha Alta,,,
Ica,yuca,costa,Chincha Alta,,,
Ica,zanahoria,costa,Chincha Alta,,,
Ica,zapallo,costa,Chincha Alta,,,
Junin,ajo,sierra,El Tambo,,,
Junin,alcachofa,sierra,El Tambo,,,
Junin,alfalfa,sierra,El Tambo,,,
Junin,arveja_grano_seco,sierra,El Tambo,,,
Junin,arveja_verde,sierra,El Tambo,,,
Junin,avena_forrajera,sierra,El Tambo,,,
Junin,cebada_forrajera,sierra,El Tambo,,,
Junin,cebada_grano,sierra,El Tambo,,,
Junin,cebolla,sierra,El Tambo,,,
Junin,frijol_grano_seco,sierra,El Tambo,,,
Junin,haba_grano_seco,sierra,El Tambo,,,
Junin,maiz_amilaceo,sierra,El Tambo,,,
Junin,maiz_chala,sierra,El Tambo,,,
Junin,maiz_choclo,sierra,El Tambo,,,
Junin,manzana,sierra,El Tambo,,,
Junin,melocoton,sierra,El Tambo,,,
Junin,oca,sierra,El Tambo,,,
Junin,olluco,sierra,El Tambo,,,
Junin,oregano,sierra,El Tambo,,,
Junin,papa,sierra,El Tambo,,,
Junin,quinua,sierra,El Tambo,,,
Junin,tomate,sierra,El Tambo,,,
Junin,trigo,sierra,El Tambo,,,
Junin,tuna,sierra,El Tambo,,,
Junin,zanahoria,sierra,El Tambo,,,
Junin,zapallo,sierra,El Tambo,,,
Junin,arroz_cascara,selva_alta,Perene,,,
Junin,cacao,selva_alta,Perene,,,
Junin,cafe_pergamino,selva_alta,Perene,,,
Junin,camote,selva_alta,Perene,,,
Junin,granadilla,selva_alta,Perene,,,
Junin,maiz_amarillo_duro,selva_alta,Perene,,,
Junin,mandarina,selva_alta,Perene,,,
Junin,naranja,selva_alta,Perene,,,
Junin,papaya,selva_alta,Perene,,,
Junin,pina,selva_alta,Perene,,,
Junin,platano,selva_alta,Perene,,,
Junin,tangelo,selva_alta,Perene,,,
Junin,yuca,selva_alta,Perene,,,
Junin,palma_aceitera,selva_baja,Rio Tambo,,,
La Libertad,frijol_grano_seco,yunga,Cascas,,,
La Libertad,granadilla,yunga,Cascas,,,
La Libertad,manzana,yunga,Cascas,,,
La Libertad,melocoton,yunga,Cascas,,,
La Libertad,arveja_grano_seco,sierra,Huamachuco,,,
La Libertad,arveja_verde,sierra,Huamachuco,,,
La Libertad,avena_forrajera,sierra,Huamachuco,,,
La Libertad,cafe_pergamino,sierra,Huamachuco,,,
La Libertad,cebada_forrajera,sierra,Huamachuco,,,
La Libertad,cebada_grano,sierra,Huamachuco,,,
La Libertad,haba_grano_seco,sierra,Huamachuco,,,
La Libertad,maiz_amilaceo,sierra,Huamachuco,,,
La Libertad,maiz_choclo,sierra,Huamachuco,,,
La Libertad,oca,sierra,Huamachuco,,,
La Libertad,olluco,sierra,Huamachuco,,,
La Libertad,oregano,sierra,Huamachuco,,,
La Libertad,papa,sierra,Huamachuco,,,
La Libertad,quinua,sierra,Huamachuco,,,
La Libertad,trigo,sierra,Huamachuco,,,
La Libertad,tuna,sierra,Huamachuco,,,
La Libertad,zanahoria,sierra,Huamachuco,,,
La Libertad,aceituna,costa,Viru,,,
La Libertad,aji,costa,Viru,,,
La Libertad,ajo,costa,Viru,,,
La Libertad,alcachofa,costa,Viru,,,
La Libertad,alfalfa,costa,Viru,,,
La Libertad,algodon_rama,costa,Viru,,,
La Libertad,arandano,costa,Viru,,,
La Libertad,arroz_cascara,costa,Viru,,,
La Libertad,camote,costa,Viru,,,
La Libertad,cana_para_azucar,costa,Viru,,,
La Libertad,cebolla,costa,Viru,,,
La Libertad,esparrago,costa,Viru,,,
La Libertad,maiz_amarillo_duro,costa,Viru,,,
La Libertad,maiz_chala,costa,Viru,,,
La Libertad,mandarina,costa,Viru,,,
La Libertad,mango,costa,Viru,,,
La Libertad,naranja,costa,Viru,,,
La Libertad,pallar_grano_seco,costa,Viru,,,
La Libertad,palta,costa,Viru,,,
La Libertad,papaya,costa,Viru,,,
La Libertad,paprika,costa,Viru,,,
La Libertad,pimiento,costa,Viru,,,
La Libertad,piquillo,costa,Viru,,,
La Libertad,platano,costa,Viru,,,
La Libertad,tomate,costa,Viru,,,
La Libertad,uva,costa,Viru,,,
La Libertad,yuca,costa,Viru,,,
La Libertad,zapallo,costa,Viru,,,
Piura,ajo,sierra,Canchaque,,,
Piura,alcachofa,sierra,Canchaque,,,
Piura,alfalfa,sierra,Canchaque,,,
Piura,arveja_grano_seco,sierra,Canchaque,,,
Piura,arveja_verde,sierra,Canchaque,,,
Piura,avena_forrajera,sierra,Canchaque,,,
Piura,cafe_pergamino,sierra,Canchaque,,,
Piura,cebada_forrajera,sierra,Canchaque,,,
Piura,cebada_grano,sierra,Canchaque,,,
Piura,cebolla,sierra,Canchaque,,,
Piura,frijol_grano_seco,sierra,Canchaque,,,
Piura,haba_grano_seco,sierra,Canchaque,,,
Piura,maiz_amilaceo,sierra,Canchaque,,,
Piura,maiz_chala,sierra,Canchaque,,,
Piura,maiz_choclo,sierra,Canchaque,,,
Piura,manzana,sierra,Canchaque,,,
Piura,melocoton,sierra,Canchaque,,,
Piura,oca,sierra,Canchaque,,,
Piura,olluco,sierra,Canchaque,,,
Piura,oregano,sierra,Canchaque,,,
Piura,papa,sierra,Canchaque,,,
Piura,quinua,sierra,Canchaque,,,
Piura,tomate,sierra,Canchaque,,,
Piura,trigo,sierra,Canchaque,,,
Piura,tuna,sierra,Canchaque,,,
Piura,zanahoria,sierra,Canchaque,,,
Piura,zapallo,sierra,Canchaque,,,
Piura,aceituna,valle_chira,Sullana,,,
Piura,aji,valle_chira,Sullana,,,
Piura,algodon_rama,valle_chira,Sullana,,,
Piura,arroz_cascara,valle_chira,Sullana,,,
Piura,cana_para_azucar,valle_chira,Sullana,,,
Piura,maiz_amarillo_duro,valle_chira,Sullana,,,
Piura,limon_sutil,bosque_seco,Tambogrande,,,
Piura,mango,bosque_seco,Tambogrande,,,
Puno,avena_forrajera,puna_alta,Ayaviri,,,
Puno,cebada_forrajera,puna_alta,Ayaviri,,,
Puno,cebada_grano,puna_alta,Ayaviri,,,
Puno,oca,puna_alta,Ayaviri,,,
Puno,olluco,puna_alta,Ayaviri,,,
Puno,papa,puna_alta,Ayaviri,,,
Puno,quinua,puna_alta,Ayaviri,,,
Puno,ajo,altiplano_lacustre,Ilave,,,
Puno,alcachofa,altiplano_lacustre,Ilave,,,
Puno,alfalfa,altiplano_lacustre,Ilave,,,
Puno,arveja_grano_seco,altiplano_lacustre,Ilave,,,
Puno,arveja_verde,altiplano_lacustre,Ilave,,,
Puno,cebolla,altiplano_lacustre,Ilave,,,
Puno,frijol_grano_seco,altiplano_lacustre,Ilave,,,
Puno,haba_grano_seco,altiplano_lacustre,Ilave,,,
Puno,maiz_amilaceo,altiplano_lacustre,Ilave,,,
Puno,maiz_chala,altiplano_lacustre,Ilave,,,
Puno,maiz_choclo,altiplano_lacustre,Ilave,,,
Puno,oregano,altiplano_lacustre,Ilave,,,
Puno,tomate,altiplano_lacustre,Ilave,,,
Puno,trigo,altiplano_lacustre,Ilave,,,
Puno,tuna,altiplano_lacustre,Ilave,,,
Puno,zanahoria,altiplano_lacustre,Ilave,,,
Puno,zapallo,altiplano_lacustre,Ilave,,,
San Martin,ajo,selva_alto_mayo,Moyobamba,,,
San Martin,alfalfa,selva_alto_mayo,Moyobamba,,,
San Martin,arroz_cascara,selva_alto_mayo,Moyobamba,,,
San Martin,cacao,selva_alto_mayo,Moyobamba,,,
San Martin,cafe_pergamino,selva_alto_mayo,Moyobamba,,,
San Martin,cebolla,selva_alto_mayo,Moyobamba,,,
San Martin,frijol_grano_seco,selva_alto_mayo,Moyobamba,,,
San Martin,granadilla,selva_alto_mayo,Moyobamba,,,
San Martin,maiz_amarillo_duro,selva_alto_mayo,Moyobamba,,,
San Martin,maiz_chala,selva_alto_mayo,Moyobamba,,,
San Martin,mandarina,selva_alto_mayo,Moyobamba,,,
San Martin,naranja,selva_alto_mayo,Moyobamba,,,
San Martin,papaya,selva_alto_mayo,Moyobamba,,,
San Martin,pina,selva_alto_mayo,Moyobamba,,,
San Martin,tangelo,selva_alto_mayo,Moyobamba,,,
San Martin,tomate,selva_alto_mayo,Moyobamba,,,
San Martin,yuca,selva_alto_mayo,Moyobamba,,,
San Martin,zanahoria,selva_alto_mayo,Moyobamba,,,
San Martin,zapallo,selva_alto_mayo,Moyobamba,,,
San Martin,camote,selva_huallaga,Tocache,,,
San Martin,palma_aceitera,selva_huallaga,Tocache,,,
San Martin,platano,selva_huallaga,Tocache,,,
