Cultivo principal,Región,Provincia,Distrito líder
Uva (Vid),Ica,Ica,Salas (Guadalupe)
Espárrago,Ica,Ica,Salas / Santiago / Villacurí
Maíz Amarillo Duro,Ica,Ica,Santiago / Pueblo Nuevo / Ocucaje
Mandarina,Ica,Ica,San Juan Bautista
Mandarina,Ica,Chincha,Chincha Baja / El Carmen
Uva (Vid),Ica,Chincha,Sunampe / Grocio Prado
Alfalfa / Maíz Amarillo Duro,Ica,Chincha,El Carmen
Alfalfa,Ica,Pisco,Humay / Independencia
Espárrago,Ica,Pisco,Pisco (zona rural) / San Andrés
Uva y Mandarina,Ica,Pisco,Humay
Maíz Amarillo Duro,Ica,Nasca,Changuillo / Nasca (zonas bajas)
Uva y Frutales,Ica,Palpa,Palpa / Santa Cruz
Banano orgánico (plátano),Piura,Sullana,Sullana (Cercado)
Mango (Kent) / Limón sutil,Piura,Piura,Tambogrande
Mango / cultivos tradicionales,Piura,Morropón,Chulucanas
Caña de azúcar (etanol),Piura,Paita,La Huaca
Arroz cáscara,Piura,Sechura,Sechura (Cercado)
Papa / legumbres,Piura,Huancabamba,Huancabamba (Cercado)
Café (arábicas especiales),Piura,Ayabaca,Ayabaca (Cercado)
Maíz amarillo duro (subsistencia),Piura,Talara,Máncora / El Alto
Maíz choclo / hortalizas,Junín,Huancayo,Sicaya
Papa / forrajes,Junín,Jauja,Apata
Maíz amiláceo / leguminosas,Junín,Concepción,Mito
Papas nativas / hortalizas ciclo corto,Junín,Chupaca,Chupaca (Cercado)
Zanahoria / hortalizas,Junín,Tarma,Tarma (Cercado)
Maca,Junín,Junín,Carhuamayo
Cebada forrajera / pastos,Junín,Yauli,Chacapalpa
Café / jengibre (kión),Junín,Chanchamayo,Pichanaqui
Naranja / plátano,Junín,Satipo,Satipo (Cercado)
Quinua / papas nativas,Puno,Puno,Acora
Quinua,Puno,San Román,Cabana
Avena forrajera,Puno,Azángaro,Asillo
Avena forrajera / papa,Puno,Lampa,Pucará
Alfalfa / pastos,Puno,Melgar,Ayaviri (Cercado)
Papa blanca y nativa,Puno,Chucuito,Juli (Cercado)
Quinua / cebada,Puno,El Collao,Ilave (Cercado)
Papa / avena,Puno,Huancané,Taraco
Habas / papa,Puno,Yunguyo,Yunguyo (Cercado)
Maíz amiláceo / frutales,Puno,Moho,Moho (Cercado)
Frutas tropicales / hoja de coca,Puno,Carabaya,San Gabán
Café especial (arábico),Puno,Sandia,Yanahuaya / San Juan del Oro
Avena forrajera (camélidos),Puno,San Antonio de Putina,Putina (Cercado)
Caña de azúcar,La Libertad,Trujillo,Laredo
Arándano / palta Hass,La Libertad,Virú,Chao / Virú
Caña de azúcar,La Libertad,Ascope,Casa Grande
Arroz cáscara,La Libertad,Pacasmayo,Guadalupe
Arroz cáscara,La Libertad,Chepén,Chepén (Cercado)
Papa,La Libertad,Sánchez Carrión,Chugay / Huamachuco
Papa / arveja,La Libertad,Otuzco,Usquil
Trigo / cebada,La Libertad,Santiago de Chuco,Santiago de Chuco (Cercado)
Uva (vid),La Libertad,Gran Chimú,Cascas
Papa blanca,La Libertad,Julcán,Julcán (Cercado)
Maíz amiláceo / trigo,La Libertad,Pataz,Tayabamba (Cercado)
Maíz amiláceo / habas,La Libertad,Bolívar,Bolívar (Cercado)
Café,San Martín,Moyobamba,Moyobamba (Cercado)
Arroz cáscara,San Martín,Rioja,Nueva Cajamarca
Arroz cáscara,San Martín,San Martín (Tarapoto),Cacatachi / Juan Guerra
Cacao,San Martín,Lamas,Lamas (Cercado)
Cacao,San Martín,El Dorado,San José de Sisa
Arroz cáscara / maíz,San Martín,Picota,Picota (Cercado)
Arroz cáscara,San Martín,Bellavista,Bellavista (Cercado)
Cacao aromático,San Martín,Huallaga,Saposoa (Cercado)
Cacao fino de aroma,San Martín,Mariscal Cáceres,Juanjuí (Cercado)
Palma aceitera / plátano,San Martín,Tocache,Tocache (Cercado)
